name,label,Description,DescriptionFR,GroupName1,WebsiteURL1,GroupName2,WebsiteURL2,GroupName3,WebsiteURL3,GroupName4,WebsiteURL4,TCTmapsURL,Scale,ProvinceTXT,ProvinceTXTFR,Length,category,categorie,TrailType,TypeSentier,Activities,ActivitesFR,pointX,pointY
City of Barrie,City of Barrie,,,City of Barrie,https://www.barrie.ca/Living/ParksTrails/Trails/Pages/TransCanadaTrail.aspx,City of Barrie Interactive Map,https://publicmaps.barrie.ca/Html5Viewer/index.html?viewer=Parks_Rec_Finder,,,,,,,Ontario,Ontario,18.260000000000002,"Greenway, Road","Corridor vert, Route","Gravel Trail, Paved Trail, Paved Road","Sentier en poussière de pierre, Sentier pavé, Route pavée","Walking / hiking, Road cycling, Cross-country skiing, Rollerblading","Marche / randonnée pédestre, Vélo de route, Ski de fond, Patin à roues alignées",-79.69060314,44.299470069999998
Beaten Path Nordic Trails,Beaten Path Nordic Trails,"The Beaten Path Nordic Trail is a greenway connecting Atikokan to the Path of the Paddle waterway at Nym Lake heading south through Quetico Provincial Park. This multi-use trail accommodates local residents and visitors to Atikokan in both summer and winter. The Beaten Path Nordic Trail embodies the Atikokan concept of the 'Threshold on the Wilderness', a major theme for tourism in the area. This trail allows for hiking, biking and cross country skiing. Courtesy of Beaten Path Nordic Ski Club and Trans Canada Trail Ontario.","En tant que voie verte, le sentier Beaten Path Nordic relie Atikokan à la voie navigable Path of the Paddle au lac Nym pour se diriger vers le sud, à travers le parc provincial Quetico. Ce sentier à usages multiples accueille les résidents d’Atikokan et les visiteurs, l’été comme l’hiver. Le sentier Beaten Path Nordic incarne le concept du « seuil de la nature sauvage » d’Atikokan, qui constitue un thème important pour le tourisme de la région. La randonnée, le vélo et le ski de fond s’y pratiquent couramment. Publié avec l’autorisation du club de ski Beaten Path Nordic et du Sentier Transcanadien Ontario.",Beaten Path Nordic Trails,https://www.facebook.com/groups/197585466924189/,,,,,,,,,Ontario,Ontario,16.359999999999999,Greenway,Corridor vert,Natural Trail,Sentier naturel,"Walking / hiking, Cross-country skiing, Mountain biking","Marche / randonnée pédestre, Ski de fond, Vélo de montagne",-91.5831324,48.752631790000002
Town of New Tecumseth,Town of New Tecumseth,"The New Tecumseth Trail is open to walkers, cyclists, equestrians, cross country skiers, snowshoers, naturalists, and snowmobilers. Most sections are accessible to all users regardless of physical ability impairments. The Town of New Tecumseth offers locals and tourists alike a unique way to get outdoors, explore local towns and sites, experience an ever-changing landscape, and discover local history, cultures, communities and people. Courtesy of Ray Osmond, Town of New Tecumseth","Le sentier New Tecumseth accueille les passionnés de la marche, du vélo, de l’équitation, du ski de fond, de la raquette, de la nature et de la motoneige. La majorité des segments sont accessibles à tous les utilisateurs, quelle que soit leur condition physique. La ville de New Tecumseth offre aux habitants et aux touristes une façon unique de profiter des activités de plein air, d’explorer les villes et les lieux d’intérêt de la région, d’admirer son paysage en constante transformation et de découvrir son histoire, sa culture et ses collectivités. Publié avec l’autorisation de Ray Osmond, ville de New Tecumseth.",,,,,,,,,,,Ontario,Ontario,26.420000000000002,"Greenway, Road","Corridor vert, Route","Gravel Trail, Paved Road","Sentier en poussière de pierre, Route pavée","Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Raquette",-79.72027703,44.172937339999997
City of Greater Sudbury - Bell Park Walkway,City of Greater Sudbury - Bell Park Walkway,"Stretching just 2 km of paved surface, this trail is ideal for all fitness and experience levels. It extends from around Ramsey Lake to Science North, offering access to several beaches and connecting to Grace Hartman Amphitheatre. Nearby parking is available and this trail is wheelchair accessible. Courtesy of Rainbow Routes Association","Étalé sur une distance modérée de 2 km, ce sentier pavé constitue le choix idéal, quelles que soient votre condition physique et votre expérience. Après avoir contourné le lac Ramsey, il mène vers Science Nord, donnant accès à des plages et à l’Amphithéâtre Grace Hartman. Un stationnement se trouve à proximité et le sentier est accessible en fauteuil roulant. Publié avec l’autorisation de la Rainbow Routes Association.",Rainbow Routes,http://www.rainbowroutes.com/,,,,,,,,,Ontario,Ontario,1.890000000000000,Greenway,Corridor vert,Paved Trail,Sentier pavé,Walking / hiking,Marche / randonnée pédestre,-80.99383373,46.469002660000001
Blackfalds-Lacombe-Ponoka Trails,Blackfalds-Lacombe-Ponoka Trails,,,Mountain Bluebird Trails Conservation Society,http://bluebirdtrails.org/,,,,,,,,,Alberta,Alberta,61.920000000000002,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Trail, Paved Trail, Gravel Road, Paved Road","Sentier naturel, Sentier en poussière de pierre, Sentier pavé, Route en gravier, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-113.817658,52.358581979999997
Véloroute Marie-Hélène Prémont,Véloroute Marie-Hélène Prémont,,,Ville de Beaupré,https://www.villedebeaupre.com/pages/reseaux-cyclables-pietonniers-et-parcs,La Route Verte,https://www.routeverte.com/cartographie-route-verte/,,,,,,,Quebec,Québec,43.320000000000000,"Greenway, Road","Corridor vert, Route","Gravel Trail, Paved Trail, Gravel Road, Paved Road","Sentier en poussière de pierre, Sentier pavé, Route en gravier, Route pavée","Walking / hiking, Road cycling, Rollerblading","Marche / randonnée pédestre, Vélo de route, Patin à roues alignées",-71.14288329,46.886135430000003
Bow Valley Trail,Bow Valley Trail,,,Alberta Parks,https://albertaparks.ca/parks/kananaskis/bow-valley-wpp/information-facilities/trails/,,,,,,,,,Alberta,Alberta,8.670000000000000,Greenway,Corridor vert,Natural Trail,Sentier naturel,"Walking / hiking, Road cycling, Horseback riding, Mountain biking","Marche / randonnée pédestre, Vélo de route, Équitation, Vélo de montagne",-115.2550078,51.037708039999998
Yorkton to York Lake Connector,Yorkton to York Lake Connector,,,,,,,,,,,,,Saskatchewan,Saskatchewan,4.930000000000000,Road,Route,"Gravel Road, Paved Road","Route en gravier, Route pavée","Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-102.474248,51.158555010000001
North Whiteshell Trail,North Whiteshell Trail,"The North Whiteshell Trail stretches from the dam at Seven Sisters Falls to Caddy Lake, via Natalie, Eleanor, Dorothy and Nutimik Lakes on the Winnipeg River, and Betula Lake, White Lake, Brereton Lake, and Rennie. The North Whiteshell Trail links many of the well-developed trails and campsites in Whiteshell Provincial Park. Inverness, Otter Falls, Dorothy Lake, Nutimuk Lake, Betula Lake, White Lake, Jessica Lake, Brereton Lake, and the town of Rennie all offer trail users natural wonders and necessary amenities The natural beauty of this area makes trail building a challenge but points of interest such as Bannock Point Petroforms and the many waterfalls make this a very popular part of The Great Trail. Courtesy of Trails Manitoba.","Le sentier North Whiteshell s’étire du barrage de Seven Sisters Falls jusqu’au lac Caddy, passant par les lacs Natalie, Eleanor, Dorothy et Nutimik, sur la rivière Winnipeg, et les lacs Betula, White et Brereton ainsi que la ville de Rennie. Ce sentier raccorde plusieurs sentiers et terrains de camping bien aménagés du parc provincial Whiteshell. Aux chutes Inverness et Otter, aux lacs Dorothy, Nutimuk, Betula, White, Jessica et Brereton ainsi que dans la ville de Rennie, les utilisateurs du sentier découvrent des merveilles de la nature et disposent des commodités nécessaires. La beauté naturelle de ce secteur complique l’aménagement de sentiers, mais les lieux d’intérêt comme les Pétroformes de Bannock Point et les nombreuses chutes assurent la popularité de ce tronçon du Grand Sentier. Publié avec l’autorisation de Sentiers Manitoba.",Trails Manitoba,https://www.trailsmanitoba.ca/border-to-beaches/north-whiteshell-trail/,,,,,,,,,Manitoba,Manitoba,104.769999999999996,"Greenway, Road","Corridor vert, Route","Gravel Trail, Gravel Road, Paved Road","Sentier en poussière de pierre, Route en gravier, Route pavée","Walking / hiking, Cross-country skiing, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Ski de fond, Vélo de montagne, Raquette",-95.507251,50.034300000000002
Town of Caledon Trail Link,Town of Caledon Trail Link,Caledon Trail Link is a rural dirt trail and paved road in Town of Caledon. It connect the Elora Cataract Trailway with the Caledon Trailway as part of The Great Trail.,Le lien Caledon Trail Link est un sentier rural dans la municipalité de Caledon. Il lie ensemble le Elora Cataract Trailway avec le Caledon Trailway.,,,,,,,,,,,Ontario,Ontario,11.210000000000001,"Greenway, Road","Corridor vert, Route","Natural Trail, Gravel Road, Paved Road","Sentier naturel, Route en gravier, Route pavée","Walking / hiking, Road cycling, Horseback riding, Cross-country skiing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond",-79.93200492,43.795366020000003
Caledon Trailway,Caledon Trailway,"The Great Trail portion runs from Inglewood to Palgrave through Caledon East on the rail bed of the old Hamilton and Northwestern Railway.  The trail joins the Town of New Tecumseth to the East, and the Elora Cataract Trailway to the West via Caledon Trail Link.<br><br>The scenery is attractive with rolling hills, farm fields, woodlots, and several beaver dams.  The trail crosses a deep valley of the Humber River west of Palgrave, the Credit River in Inglewood, and smaller creeks at other locations.  There are many scenic views, information panels and points of interest, including the first Trans Canada Trail pavilion in Caledon East. The pavilion has maps, historical information and views of the region from space.  Close by are extensive gardens and Caledon's Walk of Fame.","La portion sur Le Grand Sentier va de Inglewood à Palgrave en passant par Caledon Est sur la voie ferrée de l’ancienne Hamilton and Northwestern Railway. Le sentier rejoint la ville de New Tecumseth à l’est, et le sentier Elora Cataract Trailway à l’ouest via le lien de Caledon.<br><br>Le panorama permet d’admirer des collines ondulantes, des champs, des terrains boisés et plusieurs digues de castor. Le sentier croise une vallée profonde de la rivière Humber à l’ouest de Palgrave, la rivière Credit à Inglewood et de petites criques à d’autres endroits. Le sentier offre de nombreuses vues pittoresques, des panneaux d’information et des points d’intérêt, y compris le premier pavillon du sentier Transcanadien à Caledon Est. Au pavillon, vous trouverez des cartes, des renseignements historiques et des vues de la région prises de l’espace. À proximité se trouvent d’immenses jardins et l’Allée des célébrités canadiennes de Caledon.",Town of Caledon,http://www.town.caledon.on.ca/en/live/hikingtrailsandpathways.asp,Ontario Trails,http://www.ontariotrails.on.ca/trails/view/caledon-trailway,,,,,,160000,Ontario,Ontario,25.850000000000001,Greenway,Corridor vert,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Vélo de montagne, Raquette",-79.80358201,43.983646720000003
Leduc to Devon Connector,Leduc to Devon Connector,,,,,,,,,,,,,Alberta,Alberta,19.300000000000001,Road,Route,Gravel Road,Route en gravier,"Walking / hiking, Road cycling","Marche / randonnée pédestre, Vélo de route",-113.7322012,53.250509970000003
Cambridge to Paris Rail Trail,Cambridge to Paris Rail Trail,"This trail follows the old rail bed of the Lake Erie and Northern Railway between the City of Cambridge and the Town of Paris. This railway was one of the last electric railways in Ontario, running cars similar to streetcars which carried both passengers and freight.  Opened in 1994, this trail was one of Ontario’s first abandoned rail lines to be converted to recreational trail.  It is level and finished with fine gravel which provides an easy path for cyclists and hikers. The trail follows the Grand River through lush Carolinian forest with spectacular river overlooks and opportunities for viewing birds and wildlife.","Ce sentier suit l’ancienne voie ferrée du Chemin de fer du Lac Érié et du Nord entre les villes de Cambridge et de Paris. Cette voie ferrée était l’une des dernières voies ferrées électriques en Ontario, les voitures y circulant ressemblaient à des voitures de tramway qui transportaient à la fois des passagers et des marchandises. Ouvert en 1994, ce sentier est l’une des premières lignes de chemin de fer abandonnées à être converties en sentier récréatif. Il est aplani et recouvert de graviers fins, offrant ainsi un chemin d’utilisation facile pour les cyclistes et les randonneurs. Le sentier suit la rivière Grand à travers la luxuriante forêt carolinienne avec des points spectaculaires qui dominent la rivière; il offre de magnifiques occasions d’observer les oiseaux et la faune.",Grand River Conservation Authority,https://www.grandriver.ca/en/outdoor-recreation/Cambridge-to-Paris-Rail-Trail.aspx,Ontario Trails,https://www.ontariotrails.on.ca/trails/view/cambridge-to-paris-rail-trail,,,,,,132000,Ontario,Ontario,19.230000000000000,Greenway,Corridor vert,Gravel Trail,Sentier en poussière de pierre,"Walking / hiking, Road cycling, Cross-country skiing, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Ski de fond, Raquette",-80.31490582,43.344285759999998
Northumberland Rail Trail,Northumberland Rail Trail,"Predominantly rail trail, you’ll pass alongside the Trent River, wetlands and rolling farm fields dotted with sheep and cattle. Osprey are sure to be seen next to the river as are turtles laying their eggs in June. Within Campbellford you have a chance to watch boats going through Locks 11 and 12 on the Trent-Severn Waterway. The Ranney Gorge Suspension Bridge adjoins Ferris Park with lovely side trails to hike at the river’s edge. Within Ferris, the trail is hilly as you manoeuvre the Park’s main road and dirt paths. Eateries are found in Hastings, Campbellford and Chubby’s (Hoard’s Station) on weekends.","Avant tout chemin ferroviaire, vous passerez le long de la rivière Trent, des zones humides et des champs de ferme vallonnés parsemés de moutons et de bovins. Osprey est sûr d'être vu à côté de la rivière, de même que les tortues mettant leurs œufs en juin. Dans Campbellford, vous avez la possibilité de regarder des bateaux traversant Locks 11 et 12 sur la voie navigable Trent-Severn. Le pont suspendu de Ranney Gorge est adjacent au parc Ferris avec de jolis sentiers latéraux pour faire de la randonnée au bord de la rivière. Au sein de Ferris, la piste est vallonnée alors que vous manœuvrez la route principale du parc et les chemins de terre. Les restaurants se trouvent à Hastings, Campbellford et Chubby's (Hoard's Station) le week-end.",Northumberland Tourism,https://www.northumberlandtourism.com/en/see-do/trails.aspx,Kawarthas Northumberland,https://kawarthasnorthumberland.ca/,Trent Hills,https://www.visittrenthills.ca/,Ontario Trails,https://www.ontariotrails.on.ca/trails/view/trans-canada-trail,,,Ontario,Ontario,33.530000000000001,"Road, Mixed-Use Trail","Route, Sentier à usage mixte","Natural Trail, Gravel Road, Paved Road","Sentier naturel, Route en gravier, Route pavée","Walking / hiking, Road cycling, Horseback riding, Cross-country skiing, Snowmobiling, Mountain biking, Snowshoeing","Marche / randonnée pédestre, Vélo de route, Équitation, Ski de fond, Motoneige, Vélo de montagne, Raquette",-77.95265501,44.308286010000003
